email_size,attachment_count,hour,day_of_week,content_length
25830,0,7,5,415
29942,0,7,5,307
28780,0,7,5,279
21907,0,7,5,359
17319,0,7,5,364
44345,0,7,5,315
35328,0,7,5,400
25255,1,7,5,317
33967,0,7,5,335
19456,1,7,5,423
23687,0,7,5,324
28960,0,7,5,278
23116,1,7,5,396
53349,1,7,5,416
26284,0,7,5,444
25317,0,7,5,425
16168,2,7,5,275
52290,0,7,5,264
18333,0,7,5,268
35956,3,7,5,414
39460,0,7,5,365
42748,0,7,5,349
21748,1,7,5,514
21138,0,8,5,379
42214,2,8,5,354
27946,0,8,5,304
70995,0,8,5,346
22263,0,8,5,290
34561,0,8,5,445
38845,0,8,5,403
21614,0,8,5,510
25121,0,8,5,360
38741,0,8,5,342
15514,0,8,5,261
23137,1,8,5,276
42234,0,8,5,405
32894,0,8,5,288
17588,5,8,5,388
40031,0,8,5,360
24180,2,8,5,529
24910,0,8,5,406
28075,0,8,5,339
37018,1,8,5,512
19544,0,8,5,275
32570,0,8,5,388
26682,0,8,5,347
30001,2,8,5,348
33953,0,8,5,279
23163,0,8,5,272
26352,0,8,5,346
20184,1,8,5,358
22481,3,8,5,407
23751,2,8,5,346
24875,0,8,5,304
25667,0,8,5,325
38761,0,8,5,367
23279,0,8,5,302
51557,0,8,5,318
38026,0,8,5,359
19889,0,8,5,281
39117,0,8,5,399
19103,1,8,5,328
16148,0,8,5,382
27637,4,8,5,343
15487,2,8,5,329
32764,0,8,5,345
27705,0,8,5,316
23497,0,8,5,387
28516,3,8,5,344
45883,1,8,5,493
25253,1,8,5,255
26047,0,8,5,243
29351,0,9,5,412
40066,0,9,5,458
20060,0,9,5,415
20631,1,9,5,347
26909,1,9,5,472
16641,0,9,5,520
28937,0,9,5,258
40062,0,9,5,335
14638,0,9,5,357
16712,0,9,5,315
18352,3,9,5,327
18080,2,9,5,337
15174,0,9,5,416
23440,0,9,5,393
18573,2,9,5,372
42488,1,9,5,469
32682,0,9,5,450
25285,0,10,5,247
27100,0,10,5,339
42485,0,10,5,326
44250,0,10,5,401
56464,1,10,5,424
38915,1,10,5,388
29614,0,10,5,370
34114,0,10,5,344
19285,0,10,5,344
24921,2,10,5,429
23826,0,10,5,457
19389,2,10,5,370
23608,0,10,5,433
47357,2,10,5,451
28325,0,10,5,344
40772,0,10,5,283
17340,0,10,5,383
40967,0,10,5,245
29667,1,10,5,436
22885,0,10,5,335
39798,0,10,5,319
33806,0,10,5,227
19867,5,10,5,405
50051,0,10,5,338
33015,0,10,5,417
35214,1,10,5,473
28447,0,10,5,342
28468,1,10,5,440
20666,0,10,5,531
36933,1,10,5,291
30569,0,10,5,337
16349,3,11,5,320
24161,0,11,5,358
28363,0,11,5,280
29183,0,11,5,334
20288,0,11,5,308
28092,0,11,5,342
26627,0,11,5,389
