id,date,user,employee_id,pc,filename,activity,sensitive_flag,off_hours_flag
F000001,2026-01-08 09:30:11,farah.iyer1,EMP0001,PC-ENG-001,timesheet.xlsx,Copy,0,0
F000002,2026-02-04 09:39:43,farah.iyer1,EMP0001,PC-ENG-001,presentation.pptx,Open,0,0
F000003,2026-01-28 08:01:11,farah.iyer1,EMP0001,PC-ENG-001,budget.xlsx,Copy,0,0
F000004,2026-01-11 12:44:34,farah.iyer1,EMP0001,PC-ENG-001,budget.xlsx,Write,0,0
F000005,2026-01-31 09:42:06,farah.iyer1,EMP0001,PC-ENG-001,source_code.py,Write,0,0
F000006,2026-01-24 14:25:24,farah.iyer1,EMP0001,PC-ENG-001,design_spec.docx,Open,0,0
F000007,2026-01-30 11:27:09,farah.iyer1,EMP0001,PC-ENG-001,report.docx,Rename,0,0
F000008,2026-01-30 07:24:00,farah.iyer1,EMP0001,PC-ENG-001,source_code.py,Rename,0,0
F000009,2026-01-03 14:57:42,farah.iyer1,EMP0001,PC-ENG-001,source_code.py,Write,0,0
F000010,2026-01-03 17:22:08,farah.iyer1,EMP0001,PC-ENG-001,presentation.pptx,Write,0,0
F000011,2026-01-18 00:10:22,farah.iyer1,EMP0001,PC-ENG-001,source_code.py,Copy,0,0
F000012,2026-02-03 10:04:11,vikram.menon2,EMP0002,PC-FIN-002,design_spec.docx,Copy,0,0
F000013,2026-01-23 14:36:21,vikram.menon2,EMP0002,PC-FIN-002,presentation.pptx,Copy,0,0
F000014,2026-01-18 15:42:19,vikram.menon2,EMP0002,PC-FIN-002,presentation.pptx,Open,0,0
F000015,2026-02-11 11:30:38,vikram.menon2,EMP0002,PC-FIN-002,design_spec.docx,Copy,0,0
F000016,2026-02-06 14:32:49,vikram.menon2,EMP0002,PC-FIN-002,design_spec.docx,Rename,0,0
F000017,2026-01-09 14:37:37,vikram.menon2,EMP0002,PC-FIN-002,meeting_notes.pdf,Write,0,0
