id,date,user,employee_id,pc,url_domain,suspicious_flag,off_hours_flag
H000001,2026-01-19 13:05:39,farah.iyer1,EMP0001,PC-ENG-001,slack.com,0,0
H000002,2026-01-29 22:01:26,farah.iyer1,EMP0001,PC-ENG-001,wikipedia.org,0,0
H000003,2026-01-15 08:14:38,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000004,2026-01-03 07:24:06,farah.iyer1,EMP0001,PC-ENG-001,github.com,0,0
H000005,2026-01-23 15:36:01,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000006,2026-01-26 15:15:36,farah.iyer1,EMP0001,PC-ENG-001,google.com,0,0
H000007,2026-01-18 14:02:48,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000008,2026-01-13 09:17:17,farah.iyer1,EMP0001,PC-ENG-001,stackoverflow.com,0,0
H000009,2026-01-31 17:26:53,farah.iyer1,EMP0001,PC-ENG-001,linkedin.com,0,0
H000010,2026-02-12 15:43:17,farah.iyer1,EMP0001,PC-ENG-001,wikipedia.org,0,0
H000011,2026-01-07 09:52:36,farah.iyer1,EMP0001,PC-ENG-001,wikipedia.org,0,0
H000012,2026-02-14 09:46:03,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000013,2026-01-28 12:13:02,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000014,2026-01-17 17:05:06,farah.iyer1,EMP0001,PC-ENG-001,slack.com,0,0
H000015,2026-01-01 21:37:41,farah.iyer1,EMP0001,PC-ENG-001,google.com,0,0
H000016,2026-02-12 14:49:01,farah.iyer1,EMP0001,PC-ENG-001,company-intranet.local,0,0
H000017,2026-01-20 14:59:10,farah.iyer1,EMP0001,PC-ENG-001,company-intranet.local,0,0
H000018,2026-01-10 12:53:56,farah.iyer1,EMP0001,PC-ENG-001,slack.com,0,0
H000019,2026-01-27 18:25:58,farah.iyer1,EMP0001,PC-ENG-001,wikipedia.org,0,0
H000020,2026-01-03 15:04:56,farah.iyer1,EMP0001,PC-ENG-001,google.com,0,0
H000021,2026-02-08 04:18:09,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000022,2026-01-13 09:57:47,farah.iyer1,EMP0001,PC-ENG-001,zoom.us,0,0
H000023,2026-01-20 12:56:09,farah.iyer1,EMP0001,PC-ENG-001,company-intranet.local,0,0
H000024,2026-01-14 10:04:27,farah.iyer1,EMP0001,PC-ENG-001,company-intranet.local,0,0
H000025,2026-02-14 11:42:06,farah.iyer1,EMP0001,PC-ENG-001,linkedin.com,0,0
H000026,2026-02-07 07:58:34,farah.iyer1,EMP0001,PC-ENG-001,slack.com,0,0
H000027,2026-01-04 07:50:30,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000028,2026-02-14 16:50:31,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000029,2026-01-14 16:50:45,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000030,2026-02-07 14:59:54,farah.iyer1,EMP0001,PC-ENG-001,company-intranet.local,0,0
H000031,2026-01-09 09:29:42,farah.iyer1,EMP0001,PC-ENG-001,company-intranet.local,0,0
H000032,2026-01-11 20:33:35,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000033,2026-01-19 07:08:53,farah.iyer1,EMP0001,PC-ENG-001,wikipedia.org,0,0
H000034,2026-01-30 16:19:20,farah.iyer1,EMP0001,PC-ENG-001,github.com,0,0
H000035,2026-02-01 18:04:49,farah.iyer1,EMP0001,PC-ENG-001,google.com,0,0
H000036,2026-01-14 20:30:54,farah.iyer1,EMP0001,PC-ENG-001,wikipedia.org,0,0
H000037,2026-01-24 12:18:55,farah.iyer1,EMP0001,PC-ENG-001,slack.com,0,0
H000038,2026-01-13 13:15:35,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000039,2026-01-03 17:31:19,farah.iyer1,EMP0001,PC-ENG-001,google.com,0,0
H000040,2026-01-08 14:24:07,farah.iyer1,EMP0001,PC-ENG-001,google.com,0,0
H000041,2026-01-19 08:41:09,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000042,2026-01-23 09:03:04,farah.iyer1,EMP0001,PC-ENG-001,stackoverflow.com,0,0
H000043,2026-01-06 17:13:21,farah.iyer1,EMP0001,PC-ENG-001,company-intranet.local,0,0
H000044,2026-01-27 13:27:42,farah.iyer1,EMP0001,PC-ENG-001,github.com,0,0
H000045,2026-01-25 06:35:16,farah.iyer1,EMP0001,PC-ENG-001,zoom.us,0,0
H000046,2026-01-22 08:20:11,farah.iyer1,EMP0001,PC-ENG-001,linkedin.com,0,0
H000047,2026-01-20 17:00:08,farah.iyer1,EMP0001,PC-ENG-001,zoom.us,0,0
H000048,2026-01-19 12:51:04,farah.iyer1,EMP0001,PC-ENG-001,linkedin.com,0,0
H000049,2026-02-07 12:45:39,farah.iyer1,EMP0001,PC-ENG-001,atlassian.net,0,0
H000050,2026-02-03 12:58:22,farah.iyer1,EMP0001,PC-ENG-001,slack.com,0,0
H000051,2026-01-25 13:32:36,farah.iyer1,EMP0001,PC-ENG-001,google.com,0,0
H000052,2026-01-15 21:01:23,farah.iyer1,EMP0001,PC-ENG-001,office365.com,0,0
H000053,2026-02-07 22:44:46,farah.iyer1,EMP0001,PC-ENG-001,zoom.us,0,0
H000054,2026-01-28 11:42:58,farah.iyer1,EMP0001,PC-ENG-001,slack.com,0,0
H000055,2026-01-24 10:32:18,vikram.menon2,EMP0002,PC-FIN-002,github.com,0,0
H000056,2026-01-12 11:46:05,vikram.menon2,EMP0002,PC-FIN-002,linkedin.com,0,0
H000057,2026-01-10 10:08:48,vikram.menon2,EMP0002,PC-FIN-002,zoom.us,0,0
H000058,2026-01-26 10:16:24,vikram.menon2,EMP0002,PC-FIN-002,company-intranet.local,0,0
H000059,2026-01-31 02:02:05,vikram.menon2,EMP0002,PC-FIN-002,atlassian.net,0,0
H000060,2026-02-11 17:07:53,vikram.menon2,EMP0002,PC-FIN-002,stackoverflow.com,0,0
H000061,2026-01-01 22:24:32,vikram.menon2,EMP0002,PC-FIN-002,slack.com,0,0
H000062,2026-01-12 09:50:44,vikram.menon2,EMP0002,PC-FIN-002,wikipedia.org,0,0
H000063,2026-01-29 15:06:56,vikram.menon2,EMP0002,PC-FIN-002,company-intranet.local,0,0
H000064,2026-01-01 20:52:26,vikram.menon2,EMP0002,PC-FIN-002,slack.com,0,0
H000065,2026-02-04 13:43:17,vikram.menon2,EMP0002,PC-FIN-002,office365.com,0,0
H000066,2026-02-01 08:09:00,vikram.menon2,EMP0002,PC-FIN-002,linkedin.com,0,0
H000067,2026-01-27 08:32:46,vikram.menon2,EMP0002,PC-FIN-002,office365.com,0,0
H000068,2026-01-08 10:50:42,vikram.menon2,EMP0002,PC-FIN-002,github.com,0,0
H000069,2026-01-09 09:35:09,vikram.menon2,EMP0002,PC-FIN-002,github.com,0,0
H000070,2026-01-12 12:18:00,vikram.menon2,EMP0002,PC-FIN-002,wikipedia.org,0,0
H000071,2026-01-18 11:55:09,vikram.menon2,EMP0002,PC-FIN-002,wikipedia.org,0,0
H000072,2026-01-13 10:38:37,vikram.menon2,EMP0002,PC-FIN-002,google.com,0,0
H000073,2026-01-20 03:17:05,vikram.menon2,EMP0002,PC-FIN-002,company-intranet.local,0,0
H000074,2026-02-05 09:38:51,vikram.menon2,EMP0002,PC-FIN-002,office365.com,0,0
H000075,2026-01-15 10:50:06,vikram.menon2,EMP0002,PC-FIN-002,office365.com,0,0
H000076,2026-01-16 10:01:52,vikram.menon2,EMP0002,PC-FIN-002,zoom.us,0,0
H000077,2026-01-13 10:49:28,vikram.menon2,EMP0002,PC-FIN-002,github.com,0,0
H000078,2026-01-11 15:33:37,vikram.menon2,EMP0002,PC-FIN-002,github.com,0,0
H000079,2026-01-01 15:27:18,vikram.menon2,EMP0002,PC-FIN-002,office365.com,0,0
