id,date,user,pc,file_tree,activity

{Z2Q8-K3AV28BE-9353JIRT},01/02/2010 07:17:18,SDH2394,PC-5849,R:\;R:\22B5gX4;R:\SDH2394,Connect
{C7F1-G7LE60RU-2483DAXS},01/02/2010 07:22:42,JKS2444,PC-6961,R:\;R:\JKS2444,Connect
{T9A4-D4RV69OF-1704NINW},01/02/2010 07:31:42,CBA1023,PC-1570,R:\;R:\42gY283;R:\48rr4y2;R:\59ntt61;R:\76xCQG0;R:\CBA1023,Connect
{S8L0-O6QQ15NL-0636OYNV},01/02/2010 07:33:28,GNT0221,PC-6427,R:\;R:\GNT0221,Connect
{U0F1-R1FX27FM-6954TTVU},01/02/2010 07:33:55,JKS2444,PC-6961,,Disconnect
{X4R9-W7HH90OA-2624LIUE},01/02/2010 07:37:13,SDH2394,PC-5849,,Disconnect
{F7Z4-U0BJ54IA-1102TDYV},01/02/2010 07:40:11,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
{N0N4-S0KF96GO-9894WIGG},01/02/2010 07:41:02,ROR3483,PC-4365,R:\;R:\177Qcm8;R:\81c5yB4;R:\87zJ233;R:\ROR3483,Connect
{F0B4-J9BQ17DC-9497NDHP},01/02/2010 07:41:31,RCT1697,PC-5770,,Disconnect
{M1J9-R5HR77HW-9205YFCI},01/02/2010 07:42:43,DJA0740,PC-7197,R:\;R:\36tgdN0;R:\DJA0740,Connect
{W8G8-O4IR40KC-6200HMWS},01/02/2010 07:43:29,GNT0221,PC-6427,,Disconnect
{B6W4-L4VO73SE-0924STEW},01/02/2010 07:46:34,ROR3483,PC-4365,,Disconnect
{X4Z7-V2JC66VQ-5004ZKWE},01/02/2010 07:47:05,SRB2276,PC-5164,R:\;R:\SRB2276,Connect
{W0H4-S5OD03FD-5666ODRE},01/02/2010 07:48:30,ANC1950,PC-4921,R:\;R:\23svS11;R:\26v1D25;R:\314Ym49;R:\53tdGl0;R:\ANC1950,Connect
{X2D5-X8JK29DR-0312KCTA},01/02/2010 07:50:19,CBA1023,PC-1570,,Disconnect
{V5E1-S7LS83DG-4581CUWZ},01/02/2010 07:51:36,SRB2276,PC-5164,,Disconnect
{P5P7-V8DZ29NS-4540CSQU},01/02/2010 07:53:02,AKB2312,PC-0937,R:\;R:\AKB2312,Connect
{R8G1-X0FD44RK-3893EFPS},01/02/2010 07:53:05,DJA0740,PC-7197,,Disconnect
{G7P6-Q6CY11UE-5306WORA},01/02/2010 07:55:26,ANC1950,PC-4921,,Disconnect
{L2D1-Y4ZY63EA-2485LGIL},01/02/2010 07:55:34,JKS2444,PC-6961,R:\;R:\JKS2444,Connect
{F2L4-A1JQ70WD-5277QUEO},01/02/2010 07:57:50,JKS2444,PC-6961,,Disconnect
{N5Y6-G0TI71WL-3818FAFM},01/02/2010 08:02:24,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
{U5B0-G7LJ28NT-2825ESFK},01/02/2010 08:02:56,RCT1697,PC-5770,,Disconnect
{O5P3-Z7VR09TE-4383JRQA},01/02/2010 08:07:27,CJM0273,PC-3471,R:\;R:\13jd423;R:\49FP5C2;R:\51n6647;R:\CJM0273,Connect
{K4D9-U8VB85NK-5373FFRN},01/02/2010 08:10:38,AKB2312,PC-0937,,Disconnect
{A3F2-B2GN21TT-7770SEFQ},01/02/2010 08:20:52,BCC2536,PC-0256,R:\;R:\54w31s6;R:\82LL683;R:\83n6Z85;R:\BCC2536,Connect
{L0P4-W4SO40NN-1239QQFF},01/02/2010 08:21:05,FAJ3608,PC-1335,R:\;R:\FAJ3608,Connect
{C9X9-P6JD62UP-1289BVSY},01/02/2010 08:21:10,CJM0273,PC-3471,,Disconnect
{H0U6-O1AJ64SB-5316KGEY},01/02/2010 08:21:11,RCT1697,PC-5770,R:\;R:\488TX69;R:\58l8617;R:\RCT1697,Connect
{I6Q1-T0DD41UO-9348UEFB},01/02/2010 08:21:16,LAN1329,PC-8190,R:\;R:\21ZY773;R:\324xR29;R:\37mqq71;R:\54bR5h2;R:\LAN1329,Connect
{V1J0-X2PW65RJ-4812IRXV},01/02/2010 08:23:01,RCT1697,PC-5770,,Disconnect
{R6Z1-B3KA51DB-1591JKUA},01/02/2010 08:24:02,SDH2394,PC-5849,R:\;R:\22B5gX4;R:\SDH2394,Connect
{T3T9-K2CE21NF-8610POHX},01/02/2010 08:25:29,TKM1539,PC-3295,R:\;R:\17r6y95;R:\553Kw49;R:\61Sh623;R:\68dYZ31;R:\TKM1539,Connect
{I5X8-F1UR79HU-1995TNOR},01/02/2010 08:27:22,TKM1539,PC-3295,,Disconnect
{N8N2-Q8NN51OG-7349NZNC},01/02/2010 08:28:29,JKS2444,PC-6961,R:\;R:\JKS2444,Connect
{I0E5-I7SW66JV-7329JJLH},01/02/2010 08:29:16,SDH2394,PC-5849,,Disconnect
{E0C9-E7DY65AG-6730BTVI},01/02/2010 08:29:41,GNT0221,PC-6427,R:\;R:\GNT0221,Connect
{Y3F6-P4LN74TT-7783AZPC},01/02/2010 08:29:41,GRY1398,PC-3048,R:\;R:\488Rfb8;R:\628cy29;R:\GRY1398,Connect
{Z9V2-W4LA93SX-8027EVBN},01/02/2010 08:30:44,LAN1329,PC-8190,,Disconnect
{E7C7-F6MC60QR-7143FUBK},01/02/2010 08:30:58,CHM1561,PC-7046,R:\;R:\CHM1561,Connect
{S3B1-O6PF65TB-9382ERTG},01/02/2010 08:32:15,QAH1315,PC-3767,R:\;R:\11nH633;R:\31p4g45;R:\74BvN51;R:\77hHs81;R:\QAH1315,Connect
{T0Z6-X2CJ11MY-2536RXAZ},01/02/2010 08:34:41,GRY1398,PC-3048,,Disconnect
