id,date,user,pc,activity

{F3X8-Y2GT43DR-4906OHBL},01/02/2010 02:19:18,DNS1758,PC-0414,Logon
{B4Q0-D0GM24KN-3704MAII},01/02/2010 02:31:12,DNS1758,PC-0414,Logoff
{T7J1-D4HK34KV-5476TCIJ},01/02/2010 02:34:02,DNS1758,PC-5313,Logon
{S4Y6-D8MQ05SA-0759HLIS},01/02/2010 02:53:30,DNS1758,PC-5313,Logoff
{F3P0-E7FH78CV-4874FRGZ},01/02/2010 04:07:31,DNS1758,PC-0012,Logon
{M6C2-B1LK96JR-3409QEXP},01/02/2010 04:10:34,DNS1758,PC-0012,Logoff
{J3S1-G0CN29NY-6126GYJV},01/02/2010 06:16:00,ANC1950,PC-4921,Logon
{M1V4-S1FK13BQ-2952XBLU},01/02/2010 06:25:00,SAB1954,PC-5091,Logon
{S2E1-Y8HO73WG-6712ZKOG},01/02/2010 06:28:00,LIM1718,PC-7539,Logon
{X3U5-I6AY76TL-5507LCII},01/02/2010 06:32:00,LSN1672,PC-9021,Logon
{T9C3-A0RO51RW-1508BHBK},01/02/2010 06:33:00,JEV3132,PC-7700,Logon
{G1T0-B0ZO16BY-6931CHHG},01/02/2010 06:34:00,HDB1666,PC-6793,Logon
{B4P2-H2CK33MA-9719SKBP},01/02/2010 06:38:00,CBA1023,PC-1570,Logon
{Y3T7-C4SA18FK-1176HKZW},01/02/2010 06:45:00,LAF2213,PC-3090,Logon
{G8L5-G8EA91ZE-0726XMMK},01/02/2010 06:46:00,ROR3483,PC-4365,Logon
{O3X3-I1WD37ZL-1969SYOE},01/02/2010 06:49:00,RJH0219,PC-3959,Logon
{P3A5-Z7PL54GE-3916OBKP},01/02/2010 06:49:00,SDH2394,PC-5849,Logon
{X0N8-W4HL70RL-7019WUIO},01/02/2010 06:56:00,GNT0221,PC-6427,Logon
{U9V5-N6EB40WN-7174ZDSS},01/02/2010 06:56:00,JLC0216,PC-3253,Logon
{R9K8-Q2KF87KI-6337YIQQ},01/02/2010 06:57:00,AMB3100,PC-9472,Logon
{V2U9-R4BA34BX-7600KMOM},01/02/2010 06:59:00,SSS3091,PC-2686,Logon
{U6Y8-A3NU38QQ-4104QSOA},01/02/2010 07:01:00,MJA2380,PC-2940,Logon
{R6M2-K5KG74DG-8301KROW},01/02/2010 07:02:00,CGW0692,PC-6774,Logon
{K2Q1-O2HD98ID-5044WSAA},01/02/2010 07:02:00,SFC2336,PC-1921,Logon
{X3J5-M0VK44QR-0807RZVR},01/02/2010 07:03:00,HMY0235,PC-7084,Logon
{I6P0-Y4MH32IR-4388DBEG},01/02/2010 07:03:00,LJE2413,PC-0302,Logon
{P8G9-J4HP25SR-5398XSPY},01/02/2010 07:03:00,MBA1797,PC-0470,Logon
{L4B5-G6ZX43XQ-8626PCSD},01/02/2010 07:04:00,DJA0740,PC-7197,Logon
{K1Q3-R3QB95BY-7218BTGO},01/02/2010 07:04:00,JPC2507,PC-0747,Logon
{E3E7-W5BN66PS-6663ZLVX},01/02/2010 07:07:00,ATH0225,PC-7844,Logon
{I6G5-M7DT56TH-7603UKKC},01/02/2010 07:07:00,JKG0944,PC-2688,Logon
{U3K5-A6GW94ZN-9634ZUHB},01/02/2010 07:07:00,ZRM0694,PC-6816,Logon
{J3K8-W7ME96IM-0274VWXS},01/02/2010 07:08:00,AFP2709,PC-3154,Logon
{C4R1-Q5XQ13JW-4240OVAB},01/02/2010 07:12:00,BZB3532,PC-1147,Logon
{M3V2-C1UX71AM-2508UNKL},01/02/2010 07:13:00,WBB2321,PC-3292,Logon
{O7Z2-Q6EK98DM-5486ZFOK},01/02/2010 07:15:00,FGC0114,PC-5400,Logon
{V6S5-Z4QP07IF-9280RLSP},01/02/2010 07:15:00,HLO2756,PC-9822,Logon
{U6Z8-R3QM40UV-9718CHZJ},01/02/2010 07:16:00,IWG0058,PC-4074,Logon
{C6C8-S1SC61GL-2950GAOZ},01/02/2010 07:16:00,JKS2444,PC-6961,Logon
{P1B8-J5VE15OA-6492FNAG},01/02/2010 07:18:00,NDW1863,PC-4279,Logon
{V4R7-X8KW09EK-3900PPTY},01/02/2010 07:18:00,RCT1697,PC-5770,Logon
{C2H4-L7HQ97ZC-0581IZLU},01/02/2010 07:19:00,MKR2138,PC-3207,Logon
{A5H0-H8KA06SE-6984SBBZ},01/02/2010 07:20:00,RCH2447,PC-0226,Logon
{X3P2-Q2YG49SS-3981QNJW},01/02/2010 07:21:00,DAR0709,PC-4052,Logon
{K7V1-U0BI49XH-3898YTWF},01/02/2010 07:21:00,MMR1695,PC-8796,Logon
{W2X7-K8ZN65CV-2778XYFO},01/02/2010 07:22:00,BMC3636,PC-5581,Logon
{V8S0-L4SG14LN-1500SJZV},01/02/2010 07:23:00,GRY1398,PC-3048,Logon
{D8P6-T8PV91ED-4455DGRR},01/02/2010 07:24:00,JEW2141,PC-8081,Logon
{V2Y7-F9GR55CZ-8695ACCZ},01/02/2010 07:28:00,CDB2017,PC-8758,Logon
{N4Y5-G3XF44DL-4253UGEF},01/02/2010 07:28:00,LXE2139,PC-8276,Logon
{T6M3-Z8PX95CE-6562KQNV},01/02/2010 07:29:00,AXW3243,PC-4929,Logon
{M1K1-Y5IM95CY-2081PVZU},01/02/2010 07:30:00,ABM3641,PC-7385,Logon
{V3I6-R7ZH87PW-5776SXWL},01/02/2010 07:30:00,HID1899,PC-2433,Logon
{N7M3-L6XZ17PH-7267LCUQ},01/02/2010 07:30:00,SRB2276,PC-5164,Logon
{R5K6-F6ZM58XK-2170ZYEN},01/02/2010 07:30:00,TWM2199,PC-9826,Logon
{I6J2-O4TO13ZJ-8216OUIK},01/02/2010 07:31:00,HDP1890,PC-9014,Logon
{N0Z1-D2WR53MP-3243QQWE},01/02/2010 07:31:00,JWM0484,PC-3083,Logon
{H3S9-A6YX86DM-4218UYET},01/02/2010 07:32:00,KCW2117,PC-8304,Logon
{P9B6-Q2ZA26HQ-6040ROLV},01/02/2010 07:34:00,AMA2808,PC-3872,Logon
{W6B0-H5WP88PZ-9187VRRQ},01/02/2010 07:34:00,GDM3960,PC-7415,Logon
{K0V5-B8GH49TS-6607SZJK},01/02/2010 07:35:00,AKK2125,PC-8941,Logon
{R0T2-B4VW03LQ-3881DJXD},01/02/2010 07:35:00,KJS1940,PC-3182,Logon
{F1G6-E2UH94CG-1202MPIE},01/02/2010 07:36:00,XCL1792,PC-7186,Logon
{Q3D6-M1OJ64IK-1106LYVF},01/02/2010 07:37:00,EAL3873,PC-7611,Logon
{Q3T4-Z7DS07UP-1277MAVM},01/02/2010 07:37:00,WVC3623,PC-4663,Logon
{E2T8-Z3SU13KD-5797KZNU},01/02/2010 07:38:00,KPS3882,PC-9504,Logon
{J6E4-O1IY03DX-4129LFEG},01/02/2010 07:40:00,SLC1588,PC-3514,Logon
{I0O2-Z4RB12DB-2449TORB},01/02/2010 07:43:00,BOV1609,PC-3155,Logon
{Z6Z6-U6GS57BP-8115DREG},01/02/2010 07:43:00,CJM0273,PC-3471,Logon
{U3J3-L1ZC72DY-0122YQTH},01/02/2010 07:44:00,GNE1365,PC-5750,Logon
{I1S0-Y8HA54MS-0861ZODP},01/02/2010 07:44:00,NSM2805,PC-1478,Logon
{E6Y4-Q7RV64WF-8213VNPY},01/02/2010 07:45:00,GNB3337,PC-3457,Logon
{Z4C0-U9IC19EY-4524IJYM},01/02/2010 07:45:00,HTC1750,PC-8999,Logon
{H7X1-J7MW29HN-9126GTBR},01/02/2010 07:45:00,ISB0256,PC-3808,Logon
{B0P4-H9EA19LB-8599OGOR},01/02/2010 07:46:00,IRS1337,PC-1290,Logon
{H1J6-Q7SU51IH-5419SKOZ},01/02/2010 07:46:00,NSR2539,PC-3893,Logon
{X0C5-C0WH32DF-6301GLDE},01/02/2010 07:48:00,ADP3667,PC-3802,Logon
{M2N6-P4ET38PB-2161NTLP},01/02/2010 07:48:00,BCC2536,PC-0256,Logon
{E3G0-W6AH81QM-9305GXZF},01/02/2010 07:48:00,TGH3351,PC-0681,Logon
