user,avg_login_hour,login_variance,avg_logout_hour,logout_variance,avg_session_hours,max_session_hours,min_session_hours,session_variance,total_logins,working_days,avg_logins_per_day,unique_pcs,primary_pc,primary_pc_percentage,device_switches,night_login_count,offhour_percentage,weekend_logins,weekday_logins,first_login,last_login,anomaly_score,anomaly
DTAA/CGM0994,11.29666274817137,6.5146438745368815,12.798347701149424,6.72567587730692,1.8121218652037616,11.321111111111112,0.0002777777777777,3.6337023178469927,2552,345,7.397101449275362,935,PC-3883,13.518808777429468,2551,549,61.71630094043887,0,2552,2010-01-04 07:34:58,2011-05-13 18:28:08,-0.2883445095956564,Anomaly
DTAA/DSM0990,11.668666399143929,6.5355357315838285,13.156413857677904,6.884289695888242,1.8826391118245047,11.311388888888889,0.0083333333333333,3.697323195199237,2492,346,7.202312138728324,886,PC-4863,14.92776886035313,2483,525,50.0,1,2491,2010-01-04 03:26:35,2011-05-13 23:16:06,-0.2828031164862542,Anomaly
DTAA/JCC0998,11.573279785809907,6.669615525451457,12.78831325301205,6.652278833586989,1.5813481704596162,9.315833333333334,0.0083333333333333,2.99872826445193,2490,345,7.217391304347826,881,PC-2843,13.855421686746988,2488,519,63.77510040160642,0,2490,2010-01-04 04:20:52,2011-05-13 22:56:24,-0.28059350036413977,Anomaly
DTAA/BJM0992,11.40812610409023,6.567539242024265,12.435908411468947,6.737505172009128,1.4583341260134983,8.3075,0.0083333333333333,2.673671397648615,2453,345,7.110144927536232,866,PC-2364,14.145943742356298,2452,539,49.123522217692624,0,2453,2010-01-04 01:57:30,2011-05-13 23:29:54,-0.2768897500099119,Anomaly
DTAA/ARS0993,11.589217330538084,6.630742104628168,12.99590496156534,6.745220502644336,1.769133240158398,10.320277777777775,0.0086111111111111,3.401072464132153,2385,345,6.913043478260869,856,PC-3965,14.507337526205449,2382,496,63.9832285115304,0,2385,2010-01-04 06:46:51,2011-05-13 23:46:33,-0.2759091284631018,Anomaly
DTAA/CLB0995,11.362356916287409,6.608313824373263,12.646393600882638,6.565782237737967,1.6119536385785869,9.31861111111111,0.0083333333333333,3.0343140801487163,2417,345,7.005797101449275,851,PC-2437,14.273893256102609,2416,501,64.29458005792304,0,2417,2010-01-04 02:01:26,2011-05-13 21:44:09,-0.2750676934624844,Anomaly
DTAA/CRC0996,11.63407898370616,6.535682193055372,13.03142087821044,6.996097172862767,1.9040071803369232,11.288611111111113,0.0097222222222222,3.732433267138345,2414,345,6.9971014492753625,859,PC-1046,14.374482187241094,2412,506,50.28997514498757,0,2414,2010-01-04 02:39:10,2011-05-13 19:49:44,-0.2738509232056924,Anomaly
DTAA/CLN0999,11.641697241473029,6.4151762995383175,13.220865606740048,6.902096184887227,1.872750600172125,11.305,0.0083333333333333,3.710358660739145,2453,345,7.110144927536232,869,PC-2365,14.105177333876886,2452,507,49.28658785161028,0,2453,2010-01-04 03:16:08,2011-05-13 20:07:15,-0.2738509232056924,Anomaly
DTAA/KEE0997,11.562955465587043,6.472022951645471,12.62114709851552,6.468633226623271,1.447089968511021,8.3075,0.0058333333333333,2.661650504720303,2470,345,7.159420289855072,917,PC-3083,14.048582995951415,2467,506,54.33198380566802,0,2470,2010-01-04 00:10:37,2011-05-13 23:06:21,-0.27372531964474556,Anomaly
DTAA/ELD1000,11.59482782087927,6.661254817183532,12.880624744793794,6.760928034619906,1.599509323533415,9.30861111111111,0.0083333333333333,3.016415495545007,2449,345,7.098550724637681,877,PC-3390,14.16904859126174,2448,521,51.77623519804002,0,2449,2010-01-04 08:22:09,2011-05-13 22:28:40,-0.2722276044585421,Anomaly
DTAA/IRC0991,11.907822410147991,6.450459184941247,12.67215644820296,6.597630106495735,1.078741367159972,9.286111111111111,0.0083333333333333,1.862236155485236,2365,345,6.855072463768116,872,PC-1118,14.587737843551796,2363,507,53.02325581395348,0,2365,2010-01-04 03:04:45,2011-05-13 20:10:22,-0.27202055252388857,Anomaly
DTAA/JTT0989,11.441975308641975,6.522482842321105,12.797002743484224,6.462516037650093,1.601949702789209,9.303611111111111,0.0083333333333333,3.02079321373474,2430,345,7.043478260869565,866,PC-0989,14.238683127572015,2429,491,62.34567901234568,0,2430,2010-01-04 07:08:27,2011-05-13 18:57:55,-0.26666805879721744,Anomaly
DTAA/NDS0490,9.852088078967348,3.389408484009193,19.020690964312838,5.360770275212233,9.823981270564415,12.305833333333334,0.0563888888888888,4.348590699222872,439,353,1.2436260623229465,37,PC-2549,90.8883826879271,80,35,13.66742596810934,7,432,2010-01-04 09:30:19,2011-05-13 21:39:47,-0.14552777225563085,Anomaly
DTAA/CDZ0056,11.56591052299937,3.912201201407617,15.193163201008192,4.563409057128637,4.398417349296366,10.302222222222222,0.0116666666666666,2.970758984819103,529,354,1.4943502824858756,66,PC-4052,77.50472589792061,229,35,24.57466918714556,9,520,2010-01-04 10:59:25,2011-05-13 17:30:16,-0.13881438367246024,Anomaly
DTAA/BFO0974,7.219545454545456,3.5535095996028305,16.419545454545453,4.320959078168111,10.073694444444444,11.273333333333332,0.0638888888888888,2.8865779967566656,110,98,1.1224489795918366,1,PC-2099,100.0,0,7,100.0,0,110,2010-01-04 06:37:06,2010-05-20 17:54:49,-0.13837175997344653,Anomaly
DTAA/AJC0399,13.144444444444446,3.3249210667473146,15.502,4.217854015075972,3.9566259259259264,10.374444444444444,0.0633333333333333,2.857090001961276,75,49,1.530612244897959,20,PC-1746,74.66666666666667,36,1,9.333333333333334,0,75,2010-01-04 14:21:29,2010-03-11 17:53:15,-0.12495603213297113,Anomaly
DTAA/LJR0772,8.343861788617886,3.628851773135894,17.273739837398374,4.496544158551402,9.632449864498644,11.305555555555555,0.0086111111111111,3.389768828365224,410,354,1.1581920903954803,18,PC-3780,95.85365853658536,34,28,95.85365853658536,9,401,2010-01-04 07:52:22,2011-05-13 18:45:43,-0.11396042268256645,Anomaly
DTAA/AFF0760,10.87892156862745,3.690361721055404,15.175735294117649,4.179295720366219,4.649362745098039,9.175555555555556,0.1497222222222222,2.2808765234583723,68,61,1.1147540983606556,2,PC-2804,98.52941176470588,2,6,27.94117647058824,2,66,2010-01-04 12:01:26,2010-03-25 16:31:44,-0.11102612132017575,Anomaly
DTAA/MRL0518,7.810416666666667,1.0945265420511647,15.128645833333334,1.372745687870229,7.316901041666667,8.241111111111111,0.3013888888888889,2.2114824271592317,32,29,1.103448275862069,4,PC-2827,90.625,5,0,90.625,0,32,2010-01-04 07:37:58,2010-02-11 15:37:12,-0.10942812665899226,Anomaly
DTAA/HDB0655,8.407772435897435,1.5528685231074155,14.13261217948718,1.52674431913743,5.724760950854701,7.307222222222222,0.0438888888888888,2.651516697619738,208,166,1.2530120481927711,35,PC-2605,79.8076923076923,83,0,79.8076923076923,0,208,2010-01-04 07:39:29,2010-08-26 14:47:02,-0.1030762575731271,Anomaly
DTAA/BTW0973,11.143795620437958,4.242847963014926,15.817680454176802,4.900662769686797,5.7840362260070295,10.283888888888889,0.0530555555555555,2.433380851089736,411,355,1.1577464788732394,1,PC-4462,100.0,0,41,33.81995133819951,10,401,2010-01-04 12:57:12,2011-05-13 17:41:23,-0.0979804642950548,Normal
DTAA/PJL0320,11.236253894080996,3.9486640277941367,16.367406542056074,5.020526442921986,6.4766251298027,11.31,0.0605555555555555,2.945332764654886,428,356,1.202247191011236,22,PC-1233,94.39252336448598,48,32,32.94392523364486,10,418,2010-01-04 12:47:43,2011-05-13 18:29:26,-0.09728101812890866,Normal
DTAA/HCG0731,11.91139630390144,4.05265704117931,15.824366872005475,4.894593510948463,4.947812000912617,10.283055555555556,0.0091666666666666,2.9515203730524693,487,354,1.3757062146892656,54,PC-4643,85.21560574948666,141,37,14.37371663244353,8,479,2010-01-04 12:31:37,2011-05-13 18:20:45,-0.09667220850464309,Normal
DTAA/COS0121,11.530072463768114,3.853977816651292,13.682806324110672,4.107468277577352,3.575842116820378,11.969722222222222,0.0152777777777777,2.463903280428166,506,349,1.4498567335243553,62,PC-0462,82.01581027667984,176,19,27.27272727272727,4,502,2010-01-04 12:04:11,2011-05-13 15:15:19,-0.09097550834606527,Normal
DTAA/IRH0176,12.59043209876543,2.466055937167593,18.69691358024691,2.17137870314567,6.107145061728393,11.223055555555556,0.0016666666666666,3.2952569087433967,54,44,1.2272727272727273,11,PC-4706,81.48148148148148,20,0,1.851851851851852,0,54,2010-01-04 12:12:59,2010-03-04 19:26:06,-0.09005186979247815,Normal
DTAA/CWG0305,12.530616382806166,3.872020760300373,18.28434712084347,5.096846325490215,6.62977561503109,11.317222222222222,0.0475,2.9666082996392085,411,354,1.1610169491525424,14,PC-1107,96.83698296836984,26,28,13.381995133819952,8,403,2010-01-04 09:16:15,2011-05-13 20:19:06,-0.08708684206221262,Normal
