user,avg_login_hour,login_variance,avg_logout_hour,logout_variance,avg_session_hours,max_session_hours,min_session_hours,session_variance,total_logins,working_days,avg_logins_per_day,unique_pcs,primary_pc,primary_pc_percentage,device_switches,night_login_count,offhour_percentage,weekend_logins,weekday_logins,first_login,last_login
DTAA/AAA0371,11.408523344191096,2.0271842425511672,14.571335504885992,0.9605564858572879,3.162754252623959,7.311388888888889,0.08444444444444445,2.0825628191332326,307,290,1.0586206896551724,16,PC-1689,94.46254071661238,34,0,19.86970684039088,0,307,2010-01-04 12:43:44,2011-02-24 14:41:12
DTAA/AAC0344,7.9943961352657,0.09746875990873709,16.02777777777778,0.0739191424531993,8.03292190016103,8.320277777777777,7.762777777777778,0.12603473371243004,345,345,1.0,1,PC-2282,100.0,0,0,48.11594202898551,0,345,2010-01-04 08:08:17,2011-05-13 16:00:35
DTAA/AAC0599,7.989758454106281,0.09336744746251388,16.02777777777778,0.07026772966947684,8.03802657004831,8.318333333333333,7.776388888888889,0.1145047399433112,345,345,1.0,1,PC-1800,100.0,0,0,51.59420289855072,0,345,2010-01-04 08:08:31,2011-05-13 16:07:27
DTAA/AAH0734,8.493864734299516,0.09986363956857877,17.535314009661835,0.07522644291315062,9.041643317230273,9.3125,8.757777777777777,0.12794570031541616,345,345,1.0,1,PC-0280,100.0,0,0,0.0,0,345,2010-01-04 08:23:44,2011-05-13 17:34:41
DTAA/AAK0658,8.483140096618358,0.09596996336799178,16.53671497584541,0.07131220425689046,8.053400966183574,8.327222222222222,7.777222222222222,0.12336796298610327,345,345,1.0,1,PC-3233,100.0,0,0,0.0,0,345,2010-01-04 08:28:26,2011-05-13 16:28:03
DTAA/AAK0924,8.233623188405797,0.09670732092599338,18.281014492753624,0.07418442072107576,10.047291465378423,10.314722222222223,9.759166666666667,0.12061557288818181,345,345,1.0,1,PC-4772,100.0,0,0,0.0,0,345,2010-01-04 08:21:56,2011-05-13 18:22:37
DTAA/AAR0508,7.746666666666668,0.09718751687687316,17.777632850241545,0.0713905385554975,10.030445249597424,10.313333333333333,9.757222222222222,0.12312954801939105,345,345,1.0,1,PC-1469,100.0,0,0,100.0,0,345,2010-01-04 07:52:40,2011-05-13 17:49:58
DTAA/AAS0709,11.816894977168948,2.0536625111336755,16.78808219178082,1.1699216651672288,4.971444444444445,9.315555555555555,0.0022222222222222222,2.257255480605728,365,345,1.0579710144927537,19,PC-2967,94.52054794520548,40,0,9.315068493150685,0,365,2010-01-04 12:04:55,2011-05-13 17:07:55
DTAA/ABB0272,12.042086068563092,2.171481374551104,16.827498176513494,2.4826510580196413,4.785402382689035,10.234722222222222,0.0011111111111111111,2.974392243151083,457,345,1.3246376811594203,73,PC-0726,75.49234135667396,218,0,6.564551422319474,0,457,2010-01-04 13:28:02,2011-05-13 18:07:51
DTAA/ABD0833,8.000193236714976,0.09412641325616986,17.029227053140097,0.07275970354391573,9.029414653784219,9.323611111111111,8.759166666666667,0.1186675400038988,345,345,1.0,1,PC-1771,100.0,0,0,47.53623188405797,0,345,2010-01-04 07:51:51,2011-05-13 17:02:20
DTAA/ABG0179,8.993188405797103,0.09982775020075797,18.023961352657004,0.07026912864142727,9.031185990338164,9.320833333333333,8.764444444444445,0.1236442936713788,345,345,1.0,1,PC-4171,100.0,0,0,0.0,0,345,2010-01-04 08:53:53,2011-05-13 18:05:31
DTAA/ABH0963,7.492705314009663,0.10157397503223822,16.530531400966183,0.0722261002476154,9.038345410628018,9.328055555555556,8.766388888888889,0.11723869464854089,345,345,1.0,1,PC-2613,100.0,0,0,100.0,0,345,2010-01-04 07:22:55,2011-05-13 16:29:51
DTAA/ABL0836,7.983816425120774,0.0969817029053595,19.034396135265702,0.07077116002273486,11.050675523349437,11.308055555555555,10.785555555555556,0.11610022551960791,345,345,1.0,1,PC-4639,100.0,0,0,54.78260869565217,0,345,2010-01-04 07:53:39,2011-05-13 19:07:14
DTAA/ABS0726,8.819543147208122,3.031751941698153,17.139382402707277,4.247778369508757,9.05085448392555,10.302222222222222,0.06027777777777778,2.7404955233662407,394,349,1.1289398280802292,11,PC-3698,97.46192893401016,20,20,9.898477157360407,3,391,2010-01-04 08:39:59,2011-05-13 18:32:58
DTAA/ACD0647,6.49328502415459,0.0937268365072738,17.53816425120773,0.07225273309182853,11.044503220611915,11.320277777777777,10.781666666666666,0.11870557440150097,345,345,1.0,1,PC-3117,100.0,0,0,100.0,0,345,2010-01-04 06:36:26,2011-05-13 17:31:32
DTAA/ACH0803,8.164841849148418,1.8217420102451594,16.671451743714517,2.2174596847959744,8.506652473641525,10.321111111111112,0.012222222222222223,3.511293528178486,411,345,1.191304347826087,48,PC-4334,83.94160583941606,132,0,84.91484184914842,0,411,2010-01-04 07:27:37,2011-05-13 17:26:06
DTAA/ACL0865,7.745024154589372,0.09744080424633413,17.781062801932368,0.07297324549904433,10.035756843800321,10.310277777777777,9.758055555555556,0.1209744517002233,345,345,1.0,1,PC-0124,100.0,0,0,100.0,0,345,2010-01-04 07:39:19,2011-05-13 17:46:40
DTAA/ACM0061,8.992705314009662,0.09648585629959071,18.0368115942029,0.07313008034122058,9.044262479871175,9.328888888888889,8.766666666666667,0.1199853669824505,345,345,1.0,1,PC-1324,100.0,0,0,0.0,0,345,2010-01-04 08:59:20,2011-05-13 18:06:30
DTAA/ACR0400,8.244734299516908,0.0979050682510597,18.286811594202902,0.07024650851257247,10.042209339774557,10.323055555555555,9.772777777777778,0.12337592968033706,345,345,1.0,1,PC-3584,100.0,0,0,0.0,0,345,2010-01-04 08:14:15,2011-05-13 18:10:18
